X	Y	Z
-6.01138	-8.86289	-4.44754
-3.36666	-8.86166	-5.04101
-1.58282	-7.29683	-5.63449
-3.04426	-6.42082	-6.3822
0.904001	-5.37574	-7.17456
0.47208	-6.31659	-7.13212
0.994993	-8.01954	-4.78207
4.15046	-7.30304	-5.55834
5.11938	-8.04532	-6.87052
5.54245	-7.08601	-7.23116
8.01614	-7.1069	-5.62638
8.83657	-5.98118	-5.9629
-8.00649	-7.1417	-5.70768
-6.39764	-7.29316	-2.66749
-4.78524	-5.17391	-4.59572
-1.99411	-7.5454	-2.4989
-5.02202	-5.10702	-5.54859
-4.06641	-7.09491	-6.46513
0.0156072	-5.22757	-5.46837
-0.455534	-6.11368	-6.33319
1.97851	-5.38413	-7.21023
2.7285	-6.32843	-6.36323
4.25587	-5.22737	-6.1549
3.456	-7.29524	-4.95416
5.58518	-7.48001	-6.45399
8.01658	-7.22177	-4.79014
7.96864	-6.26604	-5.50209
-8.0107	-7.22063	-4.91543
-6.47614	-8.04037	-4.33271
-2.63141	-7.31251	0.289991
-2.44969	-7.31717	-5.77539
-2.09938	-8.0414	-5.63014
-1.30715	-8.02846	-5.67642
0.233819	-8.0002	-5.90017
0.0204363	-7.9778	-7.25188
-0.181471	-7.23415	-4.89654
1.15036	-7.1836	-5.61331
3.50105	-7.99358	-5.92666
4.33872	-8.0362	-2.90762
3.27492	-4.34984	-2.84009
5.10296	-7.23564	-5.60937
6.75445	-5.29073	-5.3631
-6.51397	-6.0773	-3.96585
-7.28528	-8.02687	-4.19288
-5.35429	-7.26741	-4.02551
-4.07133	-5.24055	-5.28434
-4.14004	-7.96742	-6.60214
-4.21216	-4.34053	-5.7652
-3.27467	-5.15767	-6.02324
-0.335696	-6.2918	-7.13909
2.05733	-5.35453	-5.69842
4.4441	-4.36399	-5.6892
4.79638	-6.12095	-5.23771
4.26109	-7.42296	-4.43043
2.37565	-8.03159	-4.05815
5.5881	-6.662	-5.44366
6.659	-6.92598	-5.47336
-8.00656	-8.86136	-3.68094
-6.12914	-8.86247	-3.75073
-5.48173	-8.86122	-3.33321
